round_of_comp,date,home_team,away_team,home_nation,away_nation,home_goals,away_goals,home_penalties,away_penalties,venue,winning_team,result_90_min,latitude,longitude,location
Group stage,2004-09-14,Valencia,Anderlecht,Spain,Belgium,2,0,,,Estadi de Mestalla,Valencia,2-0,39.4753863,-0.3565192,"Estadi de Mestalla, Spain"
Group stage,2004-09-14,Celtic,Barcelona,Scotland,Spain,1,3,,,Celtic Park,Barcelona,1-3,55.8501815,-4.2068227,"Celtic Park, Scotland"
Group stage,2004-09-14,Panathinaikos,Rosenborg,Greece,Norway,2,1,,,Apostolos Nikolaidis,Panathinaikos,2-1,37.9871895,23.7541388,"Apostolos Nikolaidis, Greece"
Group stage,2004-09-14,Porto,CSKA Moscow,Portugal,Russia,0,0,,,Estádio do Dragão,,0-0,41.1618235,-8.5837492,"Estádio do Dragão, Portugal"
Group stage,2004-09-14,Shakhtar,Milan,Ukraine,Italy,0,1,,,Olympiyskiy,Milan,0-1,49.4871968,31.2718321,Ukraine
Group stage,2004-09-14,Arsenal,PSV Eindhoven,England,Netherlands,1,0,,,Highbury,Arsenal,1-0,51.5457996,-0.1027127,"Highbury, England"
Group stage,2004-09-14,Inter,Werder Bremen,Italy,Germany,2,0,,,Stadio Giuseppe Meazza,Inter,2-0,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2004-09-14,Paris S-G,Chelsea,France,England,0,3,,,Parc des Princes,Chelsea,0-3,48.8413634,2.2530693,"Parc des Princes, France"
Group stage,2004-09-15,Liverpool,Monaco,England,France,2,0,,,Anfield,Liverpool,2-0,53.4309164,-2.9609314,"Anfield, England"
Group stage,2004-09-15,Ajax,Juventus,Netherlands,Italy,0,1,,,Amsterdam ArenA,Juventus,0-1,52.3159898,4.9429305,"Amsterdam ArenA, Netherlands"
Group stage,2004-09-15,Leverkusen,Real Madrid,Germany,Spain,3,0,,,BayArena,Leverkusen,3-0,51.0381439,7.0030964,"BayArena, Germany"
Group stage,2004-09-15,Maccabi Tel Aviv,Bayern Munich,Israel,Germany,0,1,,,Itztadion Ramat Gan,Bayern Munich,0-1,30.8124247,34.8594762,Israel
Group stage,2004-09-15,Lyon,Manchester Utd,France,England,2,2,,,Stade de Gerland,,2-2,45.7237762,4.8322542,"Stade de Gerland, France"
Group stage,2004-09-15,La Coruña,Olympiacos,Spain,Greece,0,0,,,Estadio Municipal de Riazor,,0-0,43.3687157,-8.4175098,"Estadio Municipal de Riazor, Spain"
Group stage,2004-09-15,Fenerbahçe,Sparta Prague,Turkey,Czech Republic,1,0,,,Şükrü Saracoğlu,Fenerbahçe,1-0,40.9875807,29.0369773,"Şükrü Saracoğlu, Turkey"
Group stage,2004-09-15,Roma,Dynamo Kyiv,Italy,Ukraine,0,3,,,Stadio Olimpico,Dynamo Kyiv,0-3,41.9339424,12.4547705,"Stadio Olimpico, Italy"
Group stage,2004-09-28,Real Madrid,Roma,Spain,Italy,4,2,,,Estadio Santiago Bernabéu,Real Madrid,4-2,40.4521778,-3.6876573,"Estadio Santiago Bernabéu, Spain"
Group stage,2004-09-28,Bayern Munich,Ajax,Germany,Netherlands,4,0,,,Olympiastadion,Bayern Munich,4-0,52.5145846,13.2398144,"Olympiastadion, Germany"
Group stage,2004-09-28,Olympiacos,Liverpool,Greece,England,1,0,,,Stadio Georgios Karaiskakis,Olympiacos,1-0,37.9464689,23.6644117,"Stadio Georgios Karaiskakis, Greece"
Group stage,2004-09-28,Manchester Utd,Fenerbahçe,England,Turkey,6,2,,,Old Trafford,Manchester Utd,6-2,53.4631095,-2.2913865,"Old Trafford, England"
Group stage,2004-09-28,Sparta Prague,Lyon,Czech Republic,France,1,2,,,Stadion Letná,Lyon,1-2,50.0997126,14.4158918,"Stadion Letná, Czech Republic"
Group stage,2004-09-28,Juventus,Maccabi Tel Aviv,Italy,Israel,1,0,,,Delle Alpi,Juventus,1-0,46.2617049,10.59038,"Delle Alpi, Italy"
Group stage,2004-09-28,Dynamo Kyiv,Leverkusen,Ukraine,Germany,4,2,,,Stadion Dynamo im. Valeriy Lobanovskiy,Dynamo Kyiv,4-2,49.4871968,31.2718321,Ukraine
Group stage,2004-09-28,Monaco,La Coruña,France,Spain,2,0,,,Stade Louis II,Monaco,2-0,46.603354,1.8883335,France
Group stage,2004-09-29,Barcelona,Shakhtar,Spain,Ukraine,3,0,,,Camp Nou,Barcelona,3-0,41.3808046,2.1158872,"Camp Nou, Spain"
Group stage,2004-09-29,Chelsea,Porto,England,Portugal,3,1,,,Stamford Bridge,Chelsea,3-1,51.4816869,-0.1910336,"Stamford Bridge, England"
Group stage,2004-09-29,PSV Eindhoven,Panathinaikos,Netherlands,Greece,1,0,,,PSV Stadion,PSV Eindhoven,1-0,51.4412669,5.468626,"PSV Stadion, Netherlands"
Group stage,2004-09-29,CSKA Moscow,Paris S-G,Russia,France,2,0,,,Stadion Lokomotiv,CSKA Moscow,2-0,55.1473115,61.4078083,"Stadion Lokomotiv, Russia"
Group stage,2004-09-29,Anderlecht,Inter,Belgium,Italy,1,3,,,Constant Vanden Stock Stadium,Inter,1-3,50.8341434,4.2969279,"Constant Vanden Stock Stadium, Belgium"
Group stage,2004-09-29,Milan,Celtic,Italy,Scotland,3,1,,,Stadio Giuseppe Meazza,Milan,3-1,45.4782003,9.123964,"Stadio Giuseppe Meazza, Italy"
Group stage,2004-09-29,Rosenborg,Arsenal,Norway,England,1,1,,,Lerkendal Stadion,,1-1,63.4123264,10.4044664,"Lerkendal Stadion, Norway"
